@timestamp,@billedDuration,@duration,@initDuration,@memorySize
2026-05-29 12:54:29.246,122,121.99,,256000000
2026-05-29 12:54:29.185,3,2.09,,256000000
2026-05-29 12:54:28.656,2,1.72,,256000000
2026-05-29 12:54:27.960,27,26.54,,256000000
2026-05-29 12:54:27.825,3,2.06,,256000000
2026-05-29 12:54:27.565,3,2.07,,256000000
2026-05-29 12:54:27.552,2,1.93,,256000000
2026-05-29 12:54:26.335,2,1.74,,256000000
2026-05-29 12:54:26.319,2,1.95,,256000000
2026-05-29 12:54:26.132,3,2.04,,256000000
2026-05-29 12:54:25.532,2,1.84,,256000000
2026-05-29 12:54:25.415,3,2.17,,256000000
2026-05-29 12:54:24.280,2,1.82,,256000000
2026-05-29 12:54:24.254,2,1.67,,256000000
2026-05-29 12:54:24.202,2,1.82,,256000000
2026-05-29 12:54:23.987,2,1.74,,256000000
2026-05-29 12:54:23.679,2,1.58,,256000000
2026-05-29 12:54:22.584,2,1.79,,256000000
2026-05-29 12:54:22.411,2,1.75,,256000000
2026-05-29 12:54:22.171,2,1.72,,256000000
2026-05-29 12:54:22.112,2,1.97,,256000000
2026-05-29 12:54:21.672,2,1.75,,256000000
2026-05-29 12:54:20.893,3,2.09,,256000000
2026-05-29 12:54:20.762,14,13.82,,256000000
2026-05-29 12:54:20.345,2,1.94,,256000000
2026-05-29 12:54:20.272,3,2.25,,256000000
2026-05-29 12:54:20.252,2,1.86,,256000000
2026-05-29 12:54:19.504,2,1.88,,256000000
2026-05-29 12:54:19.486,5,4.46,,256000000
2026-05-29 12:54:18.545,3,2.04,,256000000
2026-05-29 12:54:18.453,2,1.92,,256000000
2026-05-29 12:54:18.125,3,2.03,,256000000
2026-05-29 12:54:18.039,4,3.39,,256000000
2026-05-29 12:54:17.320,12,11.89,,256000000
2026-05-29 12:54:16.689,3,2.15,,256000000
2026-05-29 12:54:16.547,2,1.86,,256000000
2026-05-29 12:54:16.539,3,2.17,,256000000
2026-05-29 12:54:16.027,2,2,,256000000
2026-05-29 12:54:15.442,2,1.88,,256000000
2026-05-29 12:54:14.867,3,2.09,,256000000
2026-05-29 12:54:14.692,15,14.3,,256000000
2026-05-29 12:54:14.204,2,1.89,,256000000
2026-05-29 12:54:13.980,56,55.87,,256000000
2026-05-29 12:54:13.819,2,1.84,,256000000
2026-05-29 12:54:13.491,2,1.93,,256000000
2026-05-29 12:54:12.604,2,1.94,,256000000
2026-05-29 12:54:12.446,35,34.8,,256000000
2026-05-29 12:54:12.420,2,1.98,,256000000
2026-05-29 12:54:12.271,3,2.01,,256000000
2026-05-29 12:54:11.961,3,2.02,,256000000
2026-05-29 12:54:11.100,3,2.31,,256000000
2026-05-29 12:54:10.611,3,2.07,,256000000
2026-05-29 12:54:10.500,2,1.91,,256000000
2026-05-29 12:54:10.140,3,2.13,,256000000
2026-05-29 12:54:09.721,2,1.99,,256000000
2026-05-29 12:54:09.426,2,1.66,,256000000
2026-05-29 12:54:09.113,18,17.09,,256000000
2026-05-29 12:54:08.919,3,2.19,,256000000
2026-05-29 12:54:07.965,2,1.72,,256000000
2026-05-29 12:54:07.633,3,2.02,,256000000
2026-05-29 12:54:07.538,2,1.86,,256000000
2026-05-29 12:54:07.459,3,2.23,,256000000
2026-05-29 12:54:07.187,2,1.76,,256000000
2026-05-29 12:54:05.801,2,1.85,,256000000
2026-05-29 12:54:05.761,46,45.58,,256000000
2026-05-29 12:54:05.440,2,1.69,,256000000
2026-05-29 12:54:05.273,2,1.92,,256000000
2026-05-29 12:54:05.220,3,2.28,,256000000
2026-05-29 12:54:04.342,3,2.25,,256000000
2026-05-29 12:54:03.759,2,1.9,,256000000
2026-05-29 12:54:03.740,3,2.07,,256000000
